Iterations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Value Iteration Rewards,95.8,99.2,99.3,99.4,99.2,99.3,99.3,99.2,98.9,99.2,99.5,99.3,99.4,99.0,99.2,99.4,99.4,99.4,99.3,99.5,99.5,-0.5999999999999943,99.3,-0.799999999999983,99.3,99.0,99.4,99.2,99.4,99.3,98.9,99.0,99.3,99.5,99.5,99.5,99.4,99.2,99.5,99.1,99.3,99.1,99.5,99.2,99.3,99.4,99.3,99.3,99.2,99.0,99.1,99.2,99.5,99.5,98.8,99.3,99.5,99.5,99.5,99.3,99.3,99.2,99.0,99.3,99.5,99.5,99.4,99.2,99.4,99.5,99.5,99.1,99.3,99.5,98.8,99.2,99.0,99.2,99.5,98.7,99.1,99.0,99.4,99.5,99.2,99.5,98.9,99.5,99.4,99.5,99.5,99.4,99.3,99.3,99.5,99.3,99.3,99.3,99.5,99.5
Policy Iteration Rewards,88.60000000000002,99.4,99.3,99.5,99.1,99.4,99.5,99.5,99.5,99.5,98.9,99.5,99.3,99.4,99.3,99.4,99.1,99.5,99.5,99.3,99.4,98.9,99.3,99.0,98.7,99.3,98.8,99.1,99.0,99.3,98.8,99.4,99.5,99.5,99.5,99.3,99.2,99.3,99.3,99.2,99.0,99.5,99.5,99.5,99.2,99.5,99.4,99.3,99.5,99.5,99.2,99.5,99.4,99.5,99.3,99.5,99.3,99.4,99.3,99.1,99.4,98.9,99.2,-0.9999999999999716,98.9,99.5,99.5,99.4,99.2,99.2,99.0,98.9,99.5,99.3,99.4,99.5,99.0,99.4,99.3,99.4,99.0,99.1,99.5,99.5,99.1,99.2,99.2,99.2,99.4,99.5,99.4,99.5,99.1,99.5,99.1,99.2,99.4,99.2,99.5,99.5
Q Learning Rewards,-105.89999999999986,97.0,-0.5,98.6,-1.6999999999999886,98.4,98.5,99.0,99.4,99.3,99.1,-0.9000000000000057,99.2,98.4,-102.69999999999999,-1.4999999999999432,99.0,98.8,98.9,-9.699999999999733,99.4,99.0,99.3,99.5,99.0,99.0,-6.099999999999994,99.3,98.2,99.3,99.2,99.5,99.4,95.7,98.5,-5.0,99.5,99.3,99.3,99.4,99.4,99.1,99.2,98.1,97.1,98.9,98.7,98.9,99.0,99.5,99.0,99.5,95.1,96.2,99.3,98.8,66.8999999999998,98.5,99.3,99.1,99.1,99.1,99.4,99.4,98.6,99.0,98.9,99.4,98.6,99.3,96.7,96.5,99.4,-0.5,-202.69999999999993,98.1,96.8,98.9,99.5,-1.5,-1.0999999999999943,99.3,98.9,99.5,99.5,99.3,95.4,99.0,98.9,96.9,99.0,98.6,98.7,99.5,99.3,99.5,99.2,98.9,99.3,99.2
