Iterations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Value Iteration Rewards,-114.69999999999209,-34.79999999999663,-313.10000000002543,-506.4000000000693,-121.29999999999171,-411.8000000000479,-2691.3999999985567,-312.30000000002525,-19.699999999997473,-37.0999999999965,-38562.59999971788,-21863.699999960878,53.299999999999606,88.80000000000003,86.80000000000003,88.30000000000003,86.00000000000003,94.2,94.2,93.60000000000001,94.0,93.7,95.2,94.60000000000001,94.9,94.5,93.9,94.0,95.5,94.30000000000001,94.2,93.60000000000001,94.7,94.2,94.2,95.1,93.9,93.4,94.2,94.10000000000001,94.10000000000001,94.60000000000001,94.10000000000001,94.2,94.7,93.7,95.0,92.9,94.10000000000001,92.10000000000001,92.9,94.2,94.0,93.7,94.4,94.10000000000001,93.5,94.2,93.80000000000001,94.5,93.60000000000001,94.5,93.80000000000001,94.10000000000001,94.60000000000001,94.2,93.60000000000001,94.10000000000001,92.70000000000002,94.0,94.10000000000001,94.2,94.30000000000001,94.2,93.9,94.5,93.2,94.0,93.5,93.2,93.5,94.30000000000001,93.9,94.2,94.7,94.5,94.7,94.7,94.8,93.5,94.0,95.0,94.8,93.80000000000001,94.30000000000001,93.10000000000001,93.5,93.60000000000001,93.30000000000001,94.7
Policy Iteration Rewards,-5364.400000002348,-137427.50000351726,-23016.899999944097,-66727.699999402,-3964.8999999973985,-42573.19999965952,-172.39999999999344,-525.7000000000737,-2577.4999999986603,-347.00000000003314,-2016.5999999991704,-569.0000000000836,-649.5000000001019,-22.699999999997303,40.79999999999943,-103.49999999999272,-4.79999999999832,-111.99999999999224,42.09999999999945,-261.1000000000136,-174.59999999999394,91.70000000000002,94.30000000000001,93.80000000000001,93.9,94.10000000000001,94.10000000000001,94.4,93.4,94.7,93.80000000000001,94.4,94.9,93.7,94.0,94.30000000000001,94.5,93.5,95.1,94.8,94.9,94.30000000000001,94.7,94.4,93.10000000000001,94.2,94.0,94.0,92.9,94.60000000000001,93.80000000000001,93.10000000000001,93.60000000000001,93.9,94.5,93.9,93.00000000000001,94.10000000000001,94.5,94.30000000000001,93.9,94.4,94.30000000000001,93.60000000000001,94.0,94.4,93.4,94.10000000000001,93.7,93.5,94.2,94.8,94.5,94.8,91.80000000000001,93.9,94.8,94.4,93.5,93.5,94.2,93.60000000000001,95.2,93.00000000000001,91.30000000000001,94.0,95.1,94.8,94.8,94.0,94.2,93.7,94.5,93.9,93.2,93.4,94.60000000000001,93.80000000000001,94.10000000000001,93.60000000000001
Q Learning Rewards,-124.49999999999153,-205.10000000000088,-16.699999999997644,-64.29999999999495,12.400000000000702,-322.2000000000275,31.59999999999961,-43.999999999996106,56.799999999999656,-76.39999999999426,-63.199999999995015,72.29999999999987,51.799999999999585,41.39999999999944,64.19999999999976,-17.699999999997587,54.49999999999962,28.399999999999793,46.49999999999951,78.19999999999996,5.800000000001077,28.699999999999775,54.19999999999962,59.7999999999997,9.600000000000861,-1.6999999999984965,-36.299999999996544,69.49999999999983,70.59999999999985,65.29999999999978,24.500000000000014,43.299999999999464,74.99999999999991,68.19999999999982,58.799999999999685,74.09999999999991,72.79999999999988,80.9,62.19999999999973,81.4,79.59999999999998,17.100000000000435,24.300000000000026,76.29999999999993,70.29999999999984,77.39999999999995,51.99999999999959,73.2999999999999,33.39999999999951,72.89999999999989,77.39999999999995,73.5999999999999,-3.499999999998394,51.19999999999958,55.09999999999963,72.19999999999987,83.00000000000003,79.29999999999998,75.99999999999993,76.79999999999994,91.20000000000002,30.19999999999969,17.600000000000406,77.69999999999996,81.1,-47.09999999999593,24.60000000000001,87.40000000000003,80.19999999999999,72.09999999999988,81.70000000000002,53.69999999999961,87.50000000000003,75.49999999999991,83.10000000000002,84.60000000000004,73.39999999999989,82.10000000000002,75.59999999999992,85.40000000000003,79.99999999999999,71.69999999999987,89.00000000000003,76.19999999999993,79.99999999999999,73.39999999999989,50.89999999999957,75.69999999999993,85.20000000000003,70.59999999999985,88.60000000000002,63.89999999999976,85.00000000000004,82.20000000000002,82.10000000000002,71.49999999999986,88.80000000000003,85.60000000000004,88.10000000000002,77.59999999999995
